3_toes	0	161267
equine_penis	0	160821
topless	0	160708
weapon	0	160674
bear	5	159134
makeup	0	158782
non-mammal_breasts	0	158749
pupils	0	157495
sharp_teeth	0	157369
disney	3	157153
presenting_hindquarters	0	156275
sega	3	155810
necklace	0	155360
black_clothing	0	155301
two_tone_fur	0	154571
one_eye_closed	0	154416
short_hair	0	154375
pubes	0	154182
inner_ear_fluff	0	154115
mostly_nude	0	152839
big_belly	0	152838
water	0	151936
curvy_figure	0	151919
swimwear	0	151895
overweight_male	0	150671
sky	0	149850
4_fingers	0	149706
demon	5	148486
feathered_wings	0	147920
caprine	5	146319
multicolored_hair	0	145519
machine	0	144918
clitoris	0	143632
from_front_position	0	143115
fluffy_tail	0	142980
backsack	0	142018
on_top	0	141674
url	7	141283
digitigrade	0	141192
colored	7	141182
cumshot	0	140961
biceps	0	140618
kemono	0	140579
shorts	0	140229
sound_effects	0	140009
plantigrade	0	139329
bondage	0	138004
membranous_wings	0	137944
pony	5	137890
pink_nipples	0	136908
purple_hair	0	136195
pink_hair	0	135639
ear_ring	0	135293
stockings	0	133543
smaller_male	0	133053
nipple_piercing	0	132817
larger_male	0	132789
beak	0	131527
facial_tuft	0	130597
generation_4_pokemon	5	130234
overweight_anthro	0	129998
spikes	0	129281
humanoid_hands	0	129130
female_anthro	0	128030
unicorn	5	127081
bedroom_eyes	0	127008
penis_in_ass	0	126694
female/female	0	125122
glowing	0	125083
huge_balls	0	124652
drooling	0	123418
electronics	0	122990
cheek_tuft	0	121985
group_sex	0	121697
all_fours	0	121623
border	0	121595
faceless_character	0	121333
tears	0	121231
on_bottom	0	121096
oral_penetration	0	121036
spots	0	120012
container	0	116846
glans	0	115907
mammal_humanoid	5	114930
sheath	0	114899
forced	0	114429
brown_eyes	0	114291
white_clothing	0	113987
soles	0	113332
facial_hair	0	113162
hand_on_butt	0	112729
pointy_ears	0	112412
cum_in_mouth	0	111538
body_hair	0	111434
dress	0	110650
true_fox	5	110280
cutie_mark	0	109583
nude_anthro	0	108845
human_on_anthro	0	108516
dipstick_tail	0	108137
armwear	0	107953
facial_piercing	0	107741
happy	0	107462
armor	0	107256
first_person_view	0	107038
scar	0	106733
blush_lines	0	106431
hyper_genitalia	0	106261
hair_accessory	0	106224
faceless_male	0	106002
full-length_portrait	7	105587
finger_claws	0	104688
arthropod	5	104546
tiger	5	104172
bestiality	0	104094
deer	5	103639
grin	0	103519
grey_background	0	103033
translucent	0	102853
cum_on_face	0	102769
pink_nose	0	102497
pillow	0	102393
holidays	0	102280
murid	5	101652
gesture	0	101570
on_bed	0	101552
fish	5	101484
two-piece_swimsuit	0	100998
whiskers	0	100971
skirt	0	100751
webm	7	100730
black_eyes	0	100667
grass	0	100553
murine	5	100484
bikini	0	100423
generation_3_pokemon	5	100412
quadruped	0	100324
transformation	0	98789
male_anthro	0	98459
boots	0	97798
purple_fur	0	97741
vore	0	97656
non-mammal_nipples	0	97000
alpha_channel	7	96827
voluptuous	0	96544
dildo	0	96047
submissive_male	0	95995
alien	5	94436
abdominal_bulge	0	94386
red_fur	0	93837
cloud	0	93588
long_tail	0	92593
tight_clothing	0	92357
big_muscles	0	92293
motion_lines	0	91799
hand_on_breast	0	91681
generation_2_pokemon	5	91087
robot	5	90859
long_ears	0	90686
pink_fur	0	90285
sweatdrop	0	90243
black_sclera	0	90207
internal	0	90093
hyper_penis	0	89917
eeveelution	5	89360
mustelid	5	89085
generation_6_pokemon	5	88948
snout	0	88717
restraints	0	87926
mature_female	0	87078
female_focus	0	87072
young_male	0	86189
age_difference	0	86039
bent_over	0	86038
european_mythology	3	85964
tentacles	0	85763
melee_weapon	0	85689
bra	0	85688
eyeshadow	0	85476
larger_female	0	85470
freckles	0	85430
kissing	0	85312
torn_clothing	0	85084
bovine	5	84746
cum_on_penis	0	84627
